field_id,table_name,field_name,description,data_type,required_when,unit_or_allowed_values,collection_method,collection_frequency,responsible_role,acceptable_evidence,validation_rule,sensitivity_class,linked_metrics
reporting_period.safeguard_attestation_signed,reporting_period,safeguard_attestation_signed,Authorized annual safeguard attestation,boolean,required,true|false,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
reporting_period.open_corrective_actions_count,reporting_period,open_corrective_actions_count,Open program corrective actions,integer,required,count,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
geometry.record_id,geometry,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
geometry.farm_id,geometry,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
geometry.evidence_ids,geometry,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
geometry.data_status,geometry,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
geometry.qa_status,geometry,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
geometry.geometry_id,geometry,geometry_id,Unique spatial object ID,string,required,,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.geometry_type,geometry,geometry_type,Spatial feature type,enum,required,property|field|habitat|water_source|sample_point|incident,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.geometry_file_uri,geometry,geometry_file_uri,Immutable link/path to submitted geometry,uri,required,,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.geometry_version,geometry,geometry_version,Boundary/geometry version,string,required,,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.crs_epsg,geometry,crs_epsg,Coordinate reference system EPSG code,integer,required,EPSG code,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.capture_date,geometry,capture_date,Geometry source/capture date,date,required,YYYY-MM-DD,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.source_method,geometry,source_method,Geometry creation method,enum,required,survey|GNSS|digitized_imagery|official_layer|other,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.positional_accuracy_m,geometry,positional_accuracy_m,Estimated horizontal positional accuracy,decimal,required,m,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.area_ha,geometry,area_ha,Calculated polygon area where applicable,decimal,required for polygon,ha,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.topology_status,geometry,topology_status,Automated topology result,enum,required,pass|warning|fail,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
geometry.validation_status,geometry,validation_status,Geometry review status,enum,required,validated|pending|rejected,GIS submission/review,onboarding/on change,GIS analyst,geometry file and validation report,valid CRS/geometry; topology fail rejected,restricted ecological,M01|M02|M03|M07|M09|M14
field.record_id,field,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
field.farm_id,field,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
field.evidence_ids,field,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
field.data_status,field,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
field.qa_status,field,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
field.field_id,field,field_id,Stable management-field ID,string,required,,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.field_name,field,field_name,Farm-used field name/code,text,required,,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.geometry_id,field,geometry_id,Validated field polygon geometry ID,string,required,,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.field_area_ha,field,field_area_ha,Calculated field area,decimal,required,ha,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.slope_class,field,slope_class,Dominant slope class,enum,required,0-3|3-8|8-20|20-45|>45 percent,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.erosion_risk_class,field,erosion_risk_class,Approved erosion-risk assessment class,enum,required,low|medium|high|very_high,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.soil_mapping_unit,field,soil_mapping_unit,Available soil classification/mapping unit,text,optional,,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
field.adjacent_sensitive_feature_flag,field,adjacent_sensitive_feature_flag,Adjacent to habitat/water/community-sensitive feature,boolean,required,true|false,GIS and field assessment,onboarding/on change,farm data steward,validated GIS/field assessment,area reconciles to geometry; within property,program-confidential,M03|M06|M10|M11|M12
habitat_polygon.record_id,habitat_polygon,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
habitat_polygon.farm_id,habitat_polygon,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
habitat_polygon.evidence_ids,habitat_polygon,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
habitat_polygon.data_status,habitat_polygon,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
habitat_polygon.qa_status,habitat_polygon,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
habitat_polygon.habitat_polygon_id,habitat_polygon,habitat_polygon_id,Stable native/semi-natural/restoration polygon ID,string,required,,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.geometry_id,habitat_polygon,geometry_id,Validated habitat polygon geometry ID,string,required,,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.ecosystem_class,habitat_polygon,ecosystem_class,Approved native/semi-natural ecosystem class,text,required,approved Brazil/biome legend,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.management_class,habitat_polygon,management_class,Current management category,enum,required,native_intact|native_degraded|semi_natural|restoration|wetland|riparian|other,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.legal_designations,habitat_polygon,legal_designations,Applicable overlapping legal designations,list,required,APP|Legal_Reserve|protected_area|wetland|none|other,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.area_ha,habitat_polygon,area_ha,Calculated polygon area,decimal,required,ha,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.reference_ecosystem,habitat_polygon,reference_ecosystem,Approved reference ecosystem/type,text,required for condition/restoration,,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.priority_habitat_flag,habitat_polygon,priority_habitat_flag,Program/official priority habitat flag,boolean,required,true|false,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
habitat_polygon.management_plan_id,habitat_polygon,management_plan_id,Linked habitat management plan/action set,string,required,,GIS classification and farm plan,onboarding/on change,farm data steward,"GIS, official layer, management plan",within property; overlaps reconciled; class approved,restricted ecological,M03|M05|M07|M08|M09|M13|M14|M18
water_source.record_id,water_source,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
water_source.farm_id,water_source,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
water_source.evidence_ids,water_source,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
water_source.data_status,water_source,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
water_source.qa_status,water_source,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
water_source.water_source_id,water_source,water_source_id,Stable water-source/site ID,string,required,,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.geometry_id,water_source,geometry_id,Water-source geometry ID,string,required,,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.source_type,water_source,source_type,Water source type,enum,required,river|stream|spring|lake|wetland|reservoir|groundwater|municipal|other,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.use_types,water_source,use_types,Farm uses of source,list,required,irrigation|mixing|livestock|domestic|none|other,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.permit_required,water_source,permit_required,Whether authorization/permit is required,boolean,required,true|false,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.permit_status,water_source,permit_status,Permit status,enum,required when permit_required=true,valid|pending|expired|missing|not_applicable,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.metered_flag,water_source,metered_flag,Whether withdrawal is metered,boolean,required when withdrawal occurs,true|false,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.basin_risk_class,water_source,basin_risk_class,Approved basin/water-risk classification,enum,required,low|medium|high|unknown,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
water_source.sensitive_ecosystem_flag,water_source,sensitive_ecosystem_flag,Sensitive aquatic/wetland feature flag,boolean,required,true|false,farm record/GIS/official data,onboarding/annual/on change,farm data steward,"permit, GIS, risk source",permit status consistent; geometry valid,restricted ecological,M03|M09|M12|M15
sourcing_lot.record_id,sourcing_lot,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
sourcing_lot.farm_id,sourcing_lot,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
sourcing_lot.reporting_period_id,sourcing_lot,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
sourcing_lot.evidence_ids,sourcing_lot,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
sourcing_lot.data_status,sourcing_lot,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
sourcing_lot.qa_status,sourcing_lot,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
sourcing_lot.lot_id,sourcing_lot,lot_id,Unique sourced/sold lot ID,string,required,,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.buyer_or_destination_id,sourcing_lot,buyer_or_destination_id,Program buyer/destination ID,string,required,,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.commodity,sourcing_lot,commodity,Commodity sold/sourced,text,required,soy,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.harvest_date,sourcing_lot,harvest_date,Harvest date or period end,date,required,YYYY-MM-DD,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.transfer_date,sourcing_lot,transfer_date,Transfer/sale date,date,required,YYYY-MM-DD,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.volume_tonnes,sourcing_lot,volume_tonnes,Lot mass,decimal,required,metric tonnes,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.traceability_type,sourcing_lot,traceability_type,Traceability model,enum,required,physical_identity_preserved|segregated|mass_balance|book_and_claim|unknown,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.origin_fields,sourcing_lot,origin_fields,Pipe-delimited origin field IDs,list,required for physical claims,,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
sourcing_lot.supporting_document_number,sourcing_lot,supporting_document_number,Invoice/transport/lot document number,string,required,,transaction record,each lot,farm data steward,"invoice, transport/warehouse record",positive volume; origin IDs exist; duplicate check,program-confidential,M01
land_cover_observation.record_id,land_cover_observation,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
land_cover_observation.farm_id,land_cover_observation,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
land_cover_observation.reporting_period_id,land_cover_observation,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
land_cover_observation.evidence_ids,land_cover_observation,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
land_cover_observation.data_status,land_cover_observation,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
land_cover_observation.qa_status,land_cover_observation,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
land_cover_observation.land_cover_observation_id,land_cover_observation,land_cover_observation_id,Unique land-cover assessment ID,string,required,,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.habitat_polygon_id,land_cover_observation,habitat_polygon_id,Assessed habitat polygon,string,required,,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.observation_date,land_cover_observation,observation_date,Assessment/imagery date,date,required,YYYY-MM-DD,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.imagery_source,land_cover_observation,imagery_source,Imagery/provider/source,text,required,,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.method_version,land_cover_observation,method_version,Approved classification method/version,string,required,,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.land_cover_class,land_cover_observation,land_cover_class,Observed class,text,required,approved legend,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.area_ha,land_cover_observation,area_ha,Area represented by observation/change,decimal,required,ha,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.change_type,land_cover_observation,change_type,Change relative to prior approved observation,enum,required,none|gross_loss|gross_gain|degradation|uncertain,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.change_start_date,land_cover_observation,change_start_date,Earliest supported change date,date,required when change_type != none,YYYY-MM-DD,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.change_end_date,land_cover_observation,change_end_date,Latest supported change date,date,required when change_type != none,YYYY-MM-DD,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.natural_ecosystem_conversion_flag,land_cover_observation,natural_ecosystem_conversion_flag,Whether change is natural-ecosystem conversion,enum,required,yes|no|uncertain,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.classification_confidence,land_cover_observation,classification_confidence,Classification confidence,enum,required,high|medium|low,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.field_verification_status,land_cover_observation,field_verification_status,Field verification status,enum,required,verified|not_required|pending|inconclusive,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
land_cover_observation.investigation_disposition,land_cover_observation,investigation_disposition,Approved alert/change disposition,enum,required for change/uncertain,confirmed_compliant|confirmed_noncompliant|false_positive|pending,remote sensing/GIS and field verification,annual/event,GIS analyst,imagery interpretation and investigation evidence,dates valid; change area <= polygon area; pending safeguard unresolved,restricted ecological,M02|M07
rights_grievance.record_id,rights_grievance,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
rights_grievance.farm_id,rights_grievance,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
rights_grievance.reporting_period_id,rights_grievance,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
rights_grievance.evidence_ids,rights_grievance,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
rights_grievance.data_status,rights_grievance,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
rights_grievance.qa_status,rights_grievance,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
rights_grievance.rights_grievance_id,rights_grievance,rights_grievance_id,Unique rights/conflict/grievance case ID,string,required,,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.case_type,rights_grievance,case_type,Case category,enum,required,tenure|access|FPIC|labor|community_impact|retaliation|other,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.received_date,rights_grievance,received_date,Date received/identified,date,required,YYYY-MM-DD,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.channel,rights_grievance,channel,Receipt channel,enum,required,grievance_mechanism|consultation|audit|official_record|other,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
