record_id,source_name,source_version,source_type,source_status,clause_or_page,requirement_summary,normative_strength,applicable_actor,commodity_scope,geography_scope,producer_or_system_scope,taxonomy_id,category_name,metric_layer,pressure_state_response,spatial_scale,time_horizon,metric_or_evidence,unit,baseline_rule,threshold_or_trajectory,direction_of_improvement,data_source,protocol,monitoring_frequency,assurance_method,equivalence_code,brazil_relevance,biome_relevance,legal_relationship,rights_or_equity_safeguard,cobenefit_links,estimated_burden,evidence_confidence,gaming_or_perverse_incentive_risk,gap_or_conflict,candidate_program_treatment,reviewer,review_status,notes
RTRS-5.2,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"5.2.1–5.2.3, pp.29–30","Maintain water quality, monitor irrigation water use, and conserve natural vegetation around water bodies.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B10,Water pressure and freshwater condition,B pressure/practice,pressure/state,property/basin,annual unless stated,withdrawal; incidents; riparian condition,m3; pass/fail; index,first verified measurement,legal; no deterioration; improve,avoid harm / improve,records; GIS; sampling,source clause plus program metric specification,annual/event,audit + field/sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core conditional,desk research,desk reviewed; dual/legal review pending,
RTRS-5.4,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"5.4.1–5.4.5, pp.30–31","Apply integrated crop management, set input-reduction targets, and monitor pests and natural predators.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B9,Agrochemical pressure,B pressure/practice,pressure,field/property,annual unless stated,IPM evidence; pesticide/toxic-load trajectory,toxic-load/ha,first verified measurement,reduce risk and reliance,avoid harm / improve,application/pest records,source clause plus program metric specification,seasonal/annual,records reconciliation + audit,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
RTRS-Annex5,RTRS Standard for Responsible Soy Production,4.0,production standard guidance,current supplied version; recheck before release,"Annex 5, pp.47–50","Example indicators include area, canopy, connectivity, bare soil, species, water, fire, and spray drift.",guidance,producer,soy,global; apply Brazil interpretation/law,producer,B3,Habitat condition and integrity,C state/condition,state,property/landscape,annual unless stated,selected fit-for-purpose condition indicators,various,first measurement,improving trend,avoid harm / improve,GIS/field/lab,source clause plus program metric specification,protocol-specific,audit/technical review,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,medium,medium,,leadership,desk research,desk reviewed; dual/legal review pending,
PT-3.1,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"3.1, pp.6–7","Map the supply chain, document suppliers, assess risks, and maintain traceability/due-diligence controls.",must,economic operator,all agricultural commodities,global; apply Brazil interpretation/law,economic operator,B14,Governance traceability assurance and rights,A safeguard,response,portfolio,annual unless stated,traceable sourcing coverage and risk assessment,% volume,current supply base,100% known or controlled risk,avoid harm / improve,procurement/supplier records,source clause plus program metric specification,continuous/annual,third-party management-system audit,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
PT-3.2,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"3.2, pp.7–9","Prevent, mitigate, monitor, communicate and remediate environmental and human-rights risks.",must,economic operator,all agricultural commodities,global; apply Brazil interpretation/law,economic operator,B14,Governance traceability assurance and rights,A safeguard,response,portfolio/landscape,annual unless stated,risk controls; grievances; remediation,pass/fail,current risk assessment,effective controls and remediation,avoid harm / improve,management records; stakeholders,source clause plus program metric specification,annual/event,third-party audit,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
PT-4.1,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.1, pp.11–13",Suppliers comply with legal land use and no deforestation/conversion requirements.,must,supplier,all agricultural commodities,global; apply Brazil interpretation/law,supplier,B1,Conversion deforestation and land-use change,A safeguard,pressure,property/portfolio,annual unless stated,legal/no-conversion screen,ha; pass/fail,standard cutoff/applicable law,zero noncompliant sourcing,avoid harm / improve,satellite; records,source clause plus program metric specification,annual/event,supplier sampling + third party,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
PT-4.2.3,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.2.3, p.14",Maintain or restore riparian/floodplain and erosion-sensitive natural vegetation; protect wetlands.,must,farmer supplier,all agricultural commodities,global; apply Brazil interpretation/law,farmer supplier,B2,Habitat extent and protection,A safeguard,state/response,property,annual unless stated,riparian/wetland protection/restoration,ha; pass/fail,current/legal baseline,protected/restored,avoid harm / improve,GIS; field evidence,source clause plus program metric specification,annual; condition 2–3y,supplier audit/sample,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
PT-4.2.4,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.2.4, p.14","Farmers protect rare, threatened, or endangered wildlife and plant species.",must,farmer supplier,all agricultural commodities,global; apply Brazil interpretation/law,farmer supplier,B6,Species and populations,A safeguard,state,property,annual unless stated,risk screen and protection evidence,pass/fail,current occurrence/risk,protected,avoid harm / improve,records; surveys,source clause plus program metric specification,annual/event,supplier audit/sample,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
PT-4.3.1,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.3.1–4.3.5, pp.15–16","Minimize water-quality impacts, protect sensitive ecosystems, monitor/reduce water use.",shall/must,farmer supplier,all agricultural commodities,global; apply Brazil interpretation/law,farmer supplier,B10,Water pressure and freshwater condition,B pressure/practice,pressure/state,property/basin,annual unless stated,water use; incidents; buffers,m3; pass/fail,first verified measurement,reduce/no deterioration,avoid harm / improve,records; sampling; GIS,source clause plus program metric specification,annual/event,supplier audit/sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core conditional,desk research,desk reviewed; dual/legal review pending,
PT-4.3.6,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.3.6–4.3.8, p.16",Implement and monitor techniques maintaining soil quality and preventing erosion.,shall/must,farmer supplier,all agricultural commodities,global; apply Brazil interpretation/law,farmer supplier,B11,Soil condition and biota,B pressure/practice,pressure/state,field/property,annual unless stated,soil cover; erosion control; condition,% cover; index,first verified measurement,stable/improving,avoid harm / improve,records; field,source clause plus program metric specification,annual,supplier audit/sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
PT-4.3.9,ProTerra Monitoring and Verification Standard,1.0,MRV standard,current supplied version; recheck before release,"4.3.9–4.3.11, pp.16–17",Do not use listed prohibited agrochemicals and manage applications responsibly.,shall/must,farmer supplier,all agricultural commodities,global; apply Brazil interpretation/law,farmer supplier,B9,Agrochemical pressure,A safeguard,pressure,field/property,annual unless stated,prohibited-input and application check,pass/fail,current list,zero prohibited use,avoid harm / improve,purchase/application records,source clause plus program metric specification,seasonal/annual,supplier audit/sample,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
SBTN-LEAP,SBTN Initial Guidance for Business,initial guidance,target-setting guidance,current supplied version; recheck before release,"LEAP and mitigation hierarchy, supplied document","Locate, evaluate, assess, prioritize, set/act/track using location-specific pressures and state of nature.",guidance,company,all,global; apply Brazil interpretation/law,company,B14,Governance traceability assurance and rights,B pressure/practice,response,portfolio/landscape,annual unless stated,materiality assessment and targets,n/a,materiality baseline,prioritized action and tracking,avoid harm / improve,company/value-chain data,source clause plus program metric specification,periodic,technical review,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,medium,medium,,core universal,desk research,desk reviewed; dual/legal review pending,Verify against current SBTN methods before targets or claims.
SAI-4STEP,SAI Regenerating Together Framework Narrative,1.1,regenerative framework,current supplied version; recheck before release,"four-step process, supplied document","Use context analysis, outcome selection, practice adoption, and progress monitoring; enable implementation groups.",guidance,program/farmer group,all,global; apply Brazil interpretation/law,program/farmer group,B13,Landscape collective action and leakage,B pressure/practice,response,property/landscape,annual unless stated,context plan; practice/outcome monitoring,various,context baseline,continuous improvement,avoid harm / improve,program/farm data,source clause plus program metric specification,annual,program assurance protocol to verify,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,medium,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
IETA-INTEGRITY,IETA COP16 Biodiversity Report,V3,market/policy report,current supplied version; recheck before release,"claims and biodiversity markets, supplied document","Biodiversity finance/credit claims require robust metrics, governance, safeguards, and integrity controls.",context,program/credit developer,all,global; apply Brazil interpretation/law,program/credit developer,B14,Governance traceability assurance and rights,A safeguard,response,project/landscape,annual unless stated,additionality/leakage/permanence/rights evidence,pass/fail,credible counterfactual,method-specific,avoid harm / improve,project data,source clause plus program metric specification,method-specific,independent validation/verification,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,medium,medium,,research/pilot,desk research,desk reviewed; dual/legal review pending,Not a sourcing-standard requirement; do not use routine compliance as a credit.
